skill,aliases
Python,python|py
Java,java
C++,c++|cpp
C,c
C#,c#|dotnet
Go,golang|go
Rust,rust
Kotlin,kotlin
Swift,swift
PHP,php
Ruby,ruby

Machine Learning,machine learning|ml
Deep Learning,deep learning|dl
Artificial Intelligence,artificial intelligence|ai
Data Science,data science|data scientist
Natural Language Processing,nlp|natural language processing
Computer Vision,computer vision|cv
Generative AI,generative ai|genai
LLMs,large language models|llm|llms

JavaScript,javascript|js
TypeScript,typescript|ts
HTML,html|html5
CSS,css|css3
React,react|reactjs
Next.js,next.js|nextjs
Angular,angular
Vue.js,vue|vue.js
Svelte,svelte

Node.js,node|node.js|express
Express.js,express|express.js
Django,django
Flask,flask
FastAPI,fastapi
Spring Boot,spring boot|springboot
ASP.NET,asp.net|dotnet

SQL,sql|mysql|postgresql|sqlite
MySQL,mysql
PostgreSQL,postgresql|postgres
MongoDB,mongodb|mongo
Redis,redis
Firebase,firebase
Oracle,oracle db

Docker,docker
Kubernetes,kubernetes|k8s
AWS,aws|amazon web services
Azure,azure|microsoft azure
GCP,gcp|google cloud
CI/CD,ci/cd|continuous integration|continuous deployment
Linux,linux|unix
Git,git|github
GitHub,github
GitLab,gitlab

REST APIs,rest|rest api|restful
GraphQL,graphql
Microservices,microservices|microservice architecture
System Design,system design|hld|lld

Pandas,pandas
NumPy,numpy
Scikit-learn,scikit-learn|sklearn
TensorFlow,tensorflow|tf
PyTorch,pytorch
Keras,keras
OpenCV,opencv

Power BI,power bi|powerbi
Tableau,tableau
Excel,excel|ms excel

Cybersecurity,cybersecurity|information security
Ethical Hacking,ethical hacking|penetration testing
Network Security,network security

IoT,iot|internet of things
Embedded Systems,embedded systems|embedded c
Arduino,arduino
Raspberry Pi,raspberry pi

Testing,testing|software testing
Unit Testing,unit testing
Selenium,selenium
Jest,jest
PyTest,pytest

Agile,agile|scrum
Scrum,scrum
Project Management,project management|pm
Problem Solving,problem solving
Communication,communication skills
Teamwork,teamwork|collaboration
Leadership,leadership
Time Management,time management
